receipt_code	drug_name
620006645	ブドウ糖注１０％バッグ「フソー」　５００ｍＬ
620006646	ブドウ糖注１０％ＰＬ「フソー」　５００ｍＬ
620006647	ブドウ糖注２０％ＰＬ「フソー」　２０ｍＬ
620006648	ブドウ糖注４０％ＰＬ「フソー」　２０ｍＬ
620006649	ブドウ糖注５０％ＰＬ「フソー」　２０ｍＬ
620007246	大塚糖液５％２ポート１００ｍＬ
620007416	ハイカリックＲＦ輸液　２５０ｍＬ
620007417	ハイカリックＲＦ輸液　５００ｍＬ
620007419	ハイカリックＮＣ－Ｈ輸液　７００ｍＬ
620007421	ハイカリックＮＣ－Ｎ輸液　７００ｍＬ
620007423	ハイカリックＮＣ－Ｌ輸液　７００ｍＬ
620007507	マルトス輸液１０％　２５０ｍＬ
620007508	マルトス輸液１０％　５００ｍＬ
620008177	大塚糖液５％２ポート５０ｍＬ
620155611	ブドウ糖注２０％「ＮＰ」　２０ｍＬ
620155634	光糖液２０％　２０ｍＬ
620155640	ブドウ糖注射液２０％「マイラン」　２０ｍＬ
620155641	ブドウ糖注２０％ＰＬ「Ｈｐ」　２０ｍＬ
620155645	糖液注２０％「ＡＦＰ」　２０ｍＬ
620155714	光糖液５０％　２０ｍＬ
620155716	糖液注５０％「ＡＦＰ」　２０ｍＬ
620735116	光糖液５％　２０ｍＬ
620735118	ブドウ糖注射液５％「マイラン」　２０ｍＬ
620735119	ブドウ糖注５％「ＣＭＸ」　２０ｍＬ
620735121	糖液注５％「ＡＦＰ」　２０ｍＬ
620735907	ブドウ糖注射液５％「マイラン」　２５０ｍＬ
620736117	ブドウ糖注射液５％「マイラン」　５００ｍＬ
620737702	ブドウ糖注５％「ＮＰ」　２５０ｍＬ
620738002	ブドウ糖注５％「ＮＰ」　５００ｍＬ
620738010	ブドウ糖注射液「ＡＹ」５％　５００ｍＬ
620738011	小林糖液５％　５００ｍＬ
620740001	マルトース輸液１０％「フソー」　５００ｍＬ
620740601	マルトース輸液１０％「フソー」　２００ｍＬ
620741309	キシリトール注２０％「ＮＰ」　２０ｍＬ
620745601	リハビックス－Ｋ１号輸液　５００ｍＬ
620745701	リハビックス－Ｋ２号輸液　５００ｍＬ
621626501	キシリトール注２０％シリンジ「ＮＰ」　２０ｍＬ
621646001	ブドウ糖注５％シリンジ「ＮＰ」　２０ｍＬ
621651401	ブドウ糖注２０％シリンジ「ＮＰ」　２０ｍＬ
622133101	テルモ糖注ＴＫ　５％５０ｍＬ
622688901	マンニットールＳ注射液　３００ｍＬ
622842300	ブドウ糖注射液　５％２００ｍＬ
622842301	ブドウ糖注５％バッグ「フソー」　２００ｍＬ
